frame,time_ms,detected_hz,string_id,string_name,state_id,state_name,cents_x10,confidence,yin_tau,corr_hz,corr_string_id,corr_string_name,corr_cents_x10,corr_confidence,corr_tau,fft_peak_hz,signal_amplitude
116,7424,130.699393,2,D,2,flat,-1902,0.722244,0,130.699393,2,D,-1902,0.722244,122,261.872974,28784
117,7488,130.650433,255,unknown,4,unknown,-1908,0.650120,0,130.650433,2,D,-1908,0.650120,122,261.895307,27583
118,7552,130.543798,2,D,2,flat,-1920,0.716365,0,130.543798,2,D,-1920,0.716365,123,109.743354,26955
119,7616,130.602025,2,D,2,flat,-1913,0.822229,0,130.602025,2,D,-1913,0.822229,123,109.721688,25375
120,7680,130.580664,2,D,2,flat,-1916,0.791774,0,130.580664,2,D,-1916,0.791774,123,109.701639,25375
121,7744,130.517386,2,D,2,flat,-1923,0.742574,0,130.517386,2,D,-1923,0.742574,123,109.770802,25375
122,7808,130.415939,2,D,2,flat,-1935,0.773763,0,130.415939,2,D,-1935,0.773763,123,109.739442,23889
123,7872,130.210470,2,D,2,flat,-1960,0.795935,0,130.210470,2,D,-1960,0.795935,123,109.942029,27181
124,7936,129.736655,2,D,2,flat,-2015,0.703548,0,129.736655,2,D,-2015,0.703548,123,109.841705,27308
125,8000,136.393201,255,unknown,4,unknown,-1231,0.476583,0,136.393201,2,D,-1231,0.476583,117,148.048502,27308
126,8064,147.669081,255,unknown,4,unknown,99,0.636563,0,147.669081,2,D,99,0.636563,108,162.666961,27308
127,8128,153.976194,255,unknown,4,unknown,843,0.537084,0,153.976194,2,D,843,0.537084,104,164.190763,25750
128,8192,160.632272,255,unknown,4,unknown,1627,0.558518,0,160.632272,2,D,1627,0.558518,100,163.966661,31333
129,8256,158.069688,255,unknown,4,unknown,1325,0.432084,0,158.069688,2,D,1325,0.432084,101,195.689570,31333
130,8320,193.598056,3,G,2,flat,-212,0.701328,0,193.598056,3,G,-212,0.701328,83,195.506701,31333
131,8384,195.479445,3,G,1,in tune,-46,0.912272,0,195.479445,3,G,-46,0.912272,82,195.458925,31333
132,8448,195.874693,3,G,1,in tune,-11,0.827133,0,195.874693,3,G,-11,0.827133,82,195.328185,25506
133,8512,196.326849,3,G,1,in tune,29,0.783813,0,196.326849,3,G,29,0.783813,81,195.526199,18283
134,8576,196.128143,3,G,1,in tune,11,0.903783,0,196.128143,3,G,11,0.903783,82,195.501129,26560
135,8640,196.088938,3,G,1,in tune,8,0.905217,0,196.088938,3,G,8,0.905217,82,195.476039,27106
136,8704,196.409672,255,unknown,4,unknown,36,0.498244,0,196.409672,3,G,36,0.498244,81,261.978722,27528
137,8768,130.680456,255,unknown,4,unknown,-1904,0.548493,0,130.680456,2,D,-1904,0.548493,122,262.048811,27528
138,8832,130.935910,2,D,2,flat,-1874,0.945078,0,130.935910,2,D,-1874,0.945078,122,131.162602,23238
139,8896,130.959570,2,D,2,flat,-1871,0.978731,0,130.959570,2,D,-1871,0.978731,122,131.150152,27657
140,8960,130.988015,2,D,2,flat,-1868,0.973701,0,130.988015,2,D,-1868,0.973701,122,131.119933,27657
141,9024,165.405024,255,unknown,4,unknown,2190,0.237354,0,165.405024,2,D,2190,0.237354,97,195.198070,27657
142,9088,190.719691,255,unknown,4,unknown,-466,0.591854,0,190.719691,3,G,-466,0.591854,84,195.235869,27657
143,9152,186.190130,255,unknown,4,unknown,-866,0.456296,0,186.190130,3,G,-866,0.456296,86,195.418349,26240
144,9216,174.756507,255,unknown,4,unknown,-1876,0.252308,0,174.756507,3,G,-1876,0.252308,92,197.854444,24878
145,9280,130.075688,255,unknown,4,unknown,-1975,0.214589,0,130.075688,2,D,-1975,0.214589,123,196.743111,25989
146,9344,241.740358,255,unknown,4,unknown,-365,0.437869,0,241.740358,4,B,-365,0.437869,66,196.723733,29238
147,9408,198.103201,255,unknown,4,unknown,186,0.488898,0,198.103201,3,G,186,0.488898,81,260.991755,29238
148,9472,260.747165,255,unknown,4,unknown,968,0.691237,0,260.747165,4,B,968,0.691237,61,261.401568,29238
149,9536,261.275325,4,B,3,sharp,1005,0.757684,0,261.275325,4,B,1005,0.757684,61,261.818412,29238
150,9600,260.947623,4,B,3,sharp,982,0.765210,0,260.947623,4,B,982,0.765210,61,261.827499,23992
151,9664,260.916869,4,B,3,sharp,980,0.740172,0,260.916869,4,B,980,0.740172,61,261.897163,23102
152,9728,261.177141,4,B,3,sharp,998,0.719853,0,261.177141,4,B,998,0.719853,61,261.736832,22992
153,9792,260.857073,4,B,3,sharp,976,0.736198,0,260.857073,4,B,976,0.736198,61,261.475911,21360
154,9856,260.404318,4,B,3,sharp,944,0.752235,0,260.404318,4,B,944,0.752235,61,260.720657,21360
155,9920,260.109270,255,unknown,4,unknown,923,0.599338,0,260.109270,4,B,923,0.599338,62,163.701601,19794
156,9984,190.007349,255,unknown,4,unknown,-529,0.366714,0,190.007349,3,G,-529,0.366714,84,164.092418,29387
157,10048,167.384337,255,unknown,4,unknown,2424,0.693154,0,167.384337,2,D,2424,0.693154,96,219.602590,29387
158,10112,257.345459,255,unknown,4,unknown,730,0.616571,0,257.345459,4,B,730,0.616571,62,219.750976,29387
159,10176,256.221989,255,unknown,4,unknown,651,0.666068,0,256.221989,4,B,651,0.666068,62,220.045899,29387
160,10240,255.606449,255,unknown,4,unknown,608,0.654491,0,255.606449,4,B,608,0.654491,63,220.009792,27995
161,10304,256.460403,255,unknown,4,unknown,667,0.668058,0,256.460403,4,B,667,0.668058,62,219.958246,25674
162,10368,257.501636,255,unknown,4,unknown,740,0.657566,0,257.501636,4,B,740,0.657566,62,219.990810,23945
163,10432,256.381436,255,unknown,4,unknown,662,0.614824,0,256.381436,4,B,662,0.614824,62,220.048260,23136
164,10496,249.803489,255,unknown,4,unknown,201,0.496213,0,249.803489,4,B,201,0.496213,64,220.084073,22040
165,10560,111.597795,1,A,3,sharp,251,0.829777,0,111.597795,1,A,251,0.829777,143,220.119094,20194
166,10624,111.724125,1,A,3,sharp,271,0.837019,0,111.724125,1,A,271,0.837019,143,220.152639,25952
167,10688,111.558514,1,A,3,sharp,245,0.838099,0,111.558514,1,A,245,0.838099,143,110.370018,28046
168,10752,112.755399,255,unknown,4,unknown,434,0.552058,0,112.755399,1,A,434,0.552058,142,146.731753,28094
169,10816,147.471654,255,unknown,4,unknown,76,0.636837,0,147.471654,2,D,76,0.636837,108,147.130663,30369
170,10880,147.324394,2,D,3,sharp,58,0.819632,0,147.324394,2,D,58,0.819632,109,440.680152,30369
171,10944,149.207441,255,unknown,4,unknown,280,0.687670,0,149.207441,2,D,280,0.687670,107,163.964878,30369
172,11008,164.341850,2,D,3,sharp,2065,0.852105,0,164.341850,2,D,2065,0.852105,97,164.241420,30369
173,11072,164.881827,2,D,3,sharp,2128,0.931674,0,164.881827,2,D,2128,0.931674,97,162.986629,28430
174,11136,166.193738,2,D,3,sharp,2283,0.747424,0,166.193738,2,D,2283,0.747424,96,195.686905,28430
175,11200,188.280523,255,unknown,4,unknown,-682,0.621702,0,188.280523,3,G,-682,0.621702,85,195.409560,27755
176,11264,191.524531,255,unknown,4,unknown,-395,0.601819,0,191.524531,3,G,-395,0.601819,84,195.206172,25295
177,11328,161.985441,255,unknown,4,unknown,1787,0.282044,0,161.985441,2,D,1787,0.282044,99,147.002894,29577
178,11392,148.359929,255,unknown,4,unknown,180,0.509652,0,148.359929,2,D,180,0.509652,108,146.858933,29577
179,11456,191.508299,255,unknown,4,unknown,-397,0.371139,0,191.508299,3,G,-397,0.371139,84,195.318989,29577
180,11520,99.147689,255,unknown,4,unknown,-1708,0.645042,0,99.147689,1,A,-1708,0.645042,161,98.099159,29577
181,11584,98.708158,255,unknown,4,unknown,-1777,0.601166,0,98.708158,1,A,-1777,0.601166,162,97.788057,27244
182,11648,98.424022,255,unknown,4,unknown,-1822,0.458650,0,98.424022,1,A,-1822,0.458650,163,97.664547,21052
183,11712,98.238483,255,unknown,4,unknown,-1851,0.397214,0,98.238483,1,A,-1851,0.397214,163,97.747723,18485
184,11776,97.980648,255,unknown,4,unknown,-1892,0.272095,0,97.980648,1,A,-1892,0.272095,163,97.974738,18559
185,11840,133.898468,255,unknown,4,unknown,-1525,0.316163,0,133.898468,2,D,-1525,0.316163,119,146.679766,18309
186,11904,146.681569,255,unknown,4,unknown,-18,0.377869,0,146.681569,2,D,-18,0.377869,109,146.561230,18261
187,11968,146.835527,255,unknown,4,unknown,1,0.478870,0,146.835527,2,D,1,0.478870,109,146.477564,18261
188,12032,147.045637,255,unknown,4,unknown,25,0.505596,0,147.045637,2,D,25,0.505596,109,146.542786,46394
189,12096,147.059628,255,unknown,4,unknown,27,0.489719,0,147.059628,2,D,27,0.489719,109,199.107865,46394
190,12160,196.145161,255,unknown,4,unknown,13,0.208980,0,196.145161,3,G,13,0.208980,82,192.569544,46394
191,12224,98.941186,255,unknown,4,unknown,-1740,0.479225,0,98.941186,1,A,-1740,0.479225,162,193.675916,46394
192,12288,98.845272,255,unknown,4,unknown,-1756,0.681205,0,98.845272,1,A,-1756,0.681205,162,296.518659,45524
193,12352,98.824357,1,A,2,flat,-1759,0.810634,0,98.824357,1,A,-1759,0.810634,162,296.193135,33828
194,12416,296.662552,5,high E,2,flat,-1731,0.762564,0,296.662552,5,high E,-1731,0.762564,54,295.921163,33358
195,12480,296.477178,5,high E,2,flat,-1741,0.827114,0,296.477178,5,high E,-1741,0.827114,54,295.490254,33104
196,12544,296.276339,5,high E,2,flat,-1752,0.845176,0,296.276339,5,high E,-1752,0.845176,54,294.931792,30496
197,12608,295.768604,5,high E,2,flat,-1778,0.829871,0,295.768604,5,high E,-1778,0.829871,54,294.227005,30496
198,12672,295.093355,255,unknown,4,unknown,-1814,0.659054,0,295.093355,5,high E,-1814,0.659054,54,195.564587,29477
199,12736,98.171708,1,A,2,flat,-1862,0.892957,0,98.171708,1,A,-1862,0.892957,163,195.469428,29477
200,12800,98.110188,1,A,2,flat,-1871,0.937037,0,98.110188,1,A,-1871,0.937037,163,293.830995,28254
201,12864,294.387227,255,unknown,4,unknown,-1851,0.652195,0,294.387227,5,high E,-1851,0.652195,54,131.360186,28327
