"index","sample","centered"
"768","139","0"
"769","138","-1"
"770","141","2"
"771","140","1"
"772","137","-2"
"773","140","1"
"774","142","3"
"775","141","2"
"776","141","2"
"777","140","1"
"778","139","0"
"779","138","-1"
"780","139","0"
"781","139","0"
"782","139","0"
"783","139","0"
"784","141","2"
"785","139","0"
"786","141","2"
"787","140","1"
"788","139","0"
"789","138","-1"
"790","142","3"
"791","140","1"
"792","141","2"
"793","140","1"
"794","143","4"
"795","137","-2"
"796","140","1"
"797","140","1"
"798","140","1"
"799","140","1"
"800","138","-1"
"801","138","-1"
"802","140","1"
"803","140","1"
"804","139","0"
"805","141","2"
"806","139","0"
"807","140","1"
"808","141","2"
"809","139","0"
"810","140","1"
"811","140","1"
"812","142","3"
"813","140","1"
"814","138","-1"
"815","137","-2"
"816","141","2"
"817","140","1"
"818","139","0"
"819","140","1"
"820","139","0"
"821","139","0"
"822","140","1"
"823","141","2"
"824","142","3"
"825","139","0"
"826","139","0"
"827","140","1"
"828","137","-2"
"829","140","1"
"830","141","2"
"831","141","2"
"832","138","-1"
"833","138","-1"
"834","140","1"
"835","138","-1"
"836","141","2"
"837","141","2"
"838","140","1"
"839","141","2"
"840","142","3"
"841","141","2"
"842","141","2"
"843","141","2"
"844","140","1"
"845","139","0"
"846","142","3"
"847","139","0"
"848","141","2"
"849","142","3"
"850","138","-1"
"851","140","1"
"852","139","0"
"853","141","2"
"854","139","0"
"855","138","-1"
"856","139","0"
"857","137","-2"
"858","138","-1"
"859","137","-2"
"860","139","0"
"861","136","-3"
"862","140","1"
"863","140","1"
"864","139","0"
"865","139","0"
"866","141","2"
"867","140","1"
"868","139","0"
"869","143","4"
"870","140","1"
"871","139","0"
"872","142","3"
"873","138","-1"
"874","140","1"
"875","140","1"
"876","139","0"
"877","140","1"
"878","141","2"
"879","141","2"
"880","138","-1"
"881","142","3"
"882","139","0"
"883","138","-1"
"884","143","4"
"885","142","3"
"886","139","0"
"887","138","-1"
"888","140","1"
"889","139","0"
"890","135","-4"
"891","137","-2"
"892","137","-2"
"893","137","-2"
"894","140","1"
"895","138","-1"
"896","140","1"
"897","139","0"
"898","142","3"
"899","143","4"
"900","141","2"
"901","143","4"
"902","139","0"
"903","147","8"
"904","139","0"
"905","139","0"
"906","140","1"
"907","139","0"
"908","140","1"
"909","139","0"
"910","144","5"
"911","140","1"
"912","150","11"
"913","144","5"
"914","141","2"
"915","142","3"
"916","141","2"
"917","137","-2"
"918","139","0"
"919","136","-3"
"920","140","1"
"921","136","-3"
"922","139","0"
"923","137","-2"
"924","138","-1"
"925","138","-1"
"926","140","1"
"927","141","2"
"928","138","-1"
"929","142","3"
"930","140","1"
"931","137","-2"
"932","141","2"
"933","138","-1"
"934","140","1"
"935","138","-1"
"936","137","-2"
"937","142","3"
"938","143","4"
"939","141","2"
"940","143","4"
"941","144","5"
"942","142","3"
"943","141","2"
"944","140","1"
"945","141","2"
"946","144","5"
"947","142","3"
"948","138","-1"
"949","137","-2"
"950","137","-2"
"951","138","-1"
"952","136","-3"
"953","137","-2"
"954","141","2"
"955","139","0"
"956","142","3"
"957","140","1"
"958","139","0"
"959","140","1"
"960","142","3"
"961","141","2"
"962","142","3"
"963","141","2"
"964","141","2"
"965","135","-4"
"966","143","4"
"967","140","1"
"968","144","5"
"969","140","1"
"970","144","5"
"971","142","3"
"972","142","3"
"973","142","3"
"974","142","3"
"975","140","1"
"976","142","3"
"977","137","-2"
"978","137","-2"
"979","138","-1"
"980","139","0"
"981","139","0"
"982","139","0"
"983","137","-2"
"984","139","0"
"985","137","-2"
"986","139","0"
"987","138","-1"
