"index","sample","centered"
"632","142","3"
"633","140","1"
"634","140","1"
"635","141","2"
"636","139","0"
"637","139","0"
"638","141","2"
"639","139","0"
"640","140","1"
"641","141","2"
"642","138","-1"
"643","140","1"
"644","139","0"
"645","138","-1"
"646","141","2"
"647","141","2"
"648","138","-1"
"649","139","0"
"650","140","1"
"651","149","10"
"652","141","2"
"653","139","0"
"654","140","1"
"655","141","2"
"656","138","-1"
"657","139","0"
"658","141","2"
"659","141","2"
"660","139","0"
"661","140","1"
"662","139","0"
"663","139","0"
"664","140","1"
"665","140","1"
"666","141","2"
"667","139","0"
"668","141","2"
"669","141","2"
"670","138","-1"
"671","141","2"
"672","138","-1"
"673","141","2"
"674","138","-1"
"675","139","0"
"676","138","-1"
"677","138","-1"
"678","141","2"
"679","140","1"
"680","140","1"
"681","140","1"
"682","138","-1"
"683","139","0"
"684","140","1"
"685","139","0"
"686","140","1"
"687","148","9"
"688","139","0"
"689","139","0"
"690","138","-1"
"691","138","-1"
"692","141","2"
"693","140","1"
"694","140","1"
"695","141","2"
"696","138","-1"
"697","138","-1"
"698","141","2"
"699","138","-1"
"700","141","2"
"701","138","-1"
"702","141","2"
"703","139","0"
"704","141","2"
"705","140","1"
"706","138","-1"
"707","138","-1"
"708","141","2"
"709","139","0"
"710","141","2"
"711","139","0"
"712","140","1"
"713","141","2"
"714","139","0"
"715","138","-1"
"716","141","2"
"717","139","0"
"718","138","-1"
"719","139","0"
"720","141","2"
"721","139","0"
"722","140","1"
"723","140","1"
"724","139","0"
"725","138","-1"
"726","141","2"
"727","139","0"
"728","141","2"
"729","142","3"
"730","141","2"
"731","140","1"
"732","138","-1"
"733","139","0"
"734","141","2"
"735","141","2"
"736","139","0"
"737","139","0"
"738","140","1"
"739","141","2"
"740","138","-1"
"741","137","-2"
"742","141","2"
"743","139","0"
"744","141","2"
"745","141","2"
"746","138","-1"
"747","140","1"
"748","139","0"
"749","137","-2"
"750","139","0"
"751","138","-1"
"752","139","0"
"753","140","1"
"754","139","0"
"755","138","-1"
"756","139","0"
"757","139","0"
"758","141","2"
"759","141","2"
"760","139","0"
"761","139","0"
"762","139","0"
"763","139","0"
"764","140","1"
"765","142","3"
"766","139","0"
"767","138","-1"
"768","141","2"
"769","139","0"
"770","141","2"
"771","141","2"
"772","139","0"
"773","136","-3"
"774","139","0"
"775","141","2"
"776","138","-1"
"777","140","1"
"778","140","1"
"779","142","3"
"780","139","0"
"781","138","-1"
"782","139","0"
"783","139","0"
"784","138","-1"
"785","139","0"
"786","138","-1"
"787","140","1"
